"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"CAL_trans_gear_ratio_tour","40008788","Data Label","Global","User Defined","1","9"
"CAL_inj_closedloop_afr","4000879c","Data Label","Global","User Defined","10","0"
"CAL_inj_stft_max_???","400087a2","Data Label","Global","User Defined","21","0"
"CAL_ign_low_gear_number","400087a8","Data Label","Global","User Defined","1","0"
"CAL_ac_compressor_engine_speed2","400087ae","Data Label","Global","User Defined","1","1"
"CAL_ac_compressor_runtime_min","400087b0","Data Label","Global","User Defined","1","0"
"CAL_cruise_accel_pedal_override_threshold_exit","400087bc","Data Label","Global","User Defined","3","0"
"CAL_cruise_accel_pedal_override_threshold_enter","400087bd","Data Label","Global","User Defined","3","0"
"CAL_ecu_2gr_cylinder_air_mass_mg","400087be","Data Label","Global","User Defined","1","0"
"CAL_ecu_2gr_cylinder_air_mass_mg_obd_ii","400087c0","Data Label","Global","User Defined","1","0"
"CAL_vehicle_moving_threshold?","400087c5","Data Label","Global","User Defined","9","0"
"CAL_sensor_maf_buffer_size","400087cc","Data Label","Global","User Defined","6","0"
"CAL_injtip_comp_base","400087ce","Data Label","Global","User Defined","3","0"
"CAL_injtip_in_threshold","400087d2","Data Label","Global","User Defined","2","1"
"CAL_injtip_out_threshold","400087d6","Data Label","Global","User Defined","2","1"
"CAL_idle_tps_requested_max???","400087e4","Data Label","Global","User Defined","2","0"
"CAL_injtip_dfco_ips_min_accel_pedal","400087e6","Data Label","Global","User Defined","3","0"
"CAL_injtip_dfco_enable_accel_pedal","400087e7","Data Label","Global","User Defined","2","0"
"CAL_cluster_fuel_level_zero_clip_threshold","400087e8","Data Label","Global","User Defined","5","0"
"CAL_injtip_dfco_enable_temp","400087ec","Data Label","Global","User Defined","1","0"
"CAL_evap_commanded_purge_unknown","400087fa","Data Label","Global","User Defined","3","0"
"CAL_cruise_speed_error_limit","4000880e","Data Label","Global","User Defined","4","0"
"CAL_vvt_error_gain_startup","40008812","Data Label","Global","User Defined","4","0"
"CAL_cooling_aux_pump_enginespeed_disable_engine_on","4000881a","Data Label","Global","User Defined","1","0"
"CAL_revlimit_inj_threshold_unknown","40008820","Data Label","Global","User Defined","1","0"
"CAL_trans_gear_lookup_unknown2","40008824","Data Label","Global","User Defined","1","1"
"CAL_revlimit_startup_offset_decrement","40008854","Data Label","Global","User Defined","4","0"
"CAL_ign_zero_load_threshold","4000885c","Data Label","Global","User Defined","1","0"
"CAL_ign_zero_gear","4000885d","Data Label","Global","User Defined","1","0"
"CAL_ign_timer_unknown","4000885e","Data Label","Global","User Defined","2","0"
"CAL_cruise_speed_limit","40008860","Data Label","Global","User Defined","3","1"
"CAL_cruise_speed_deadband","40008864","Data Label","Global","User Defined","2","0"
"CAL_cruise_speed_increment","4000886c","Data Label","Global","User Defined","4","0"
"CAL_brake_or_clutch_inactive_timer","40008875","Data Label","Global","User Defined","1","0"
"CAL_ecu_inj_use_tmap","40008877","Data Label","Global","User Defined","5","0"
"CAL_load_cylinder_volume","40008878","Data Label","Global","User Defined","2","0"
"CAL_cooling_aux_pump_airtemp_disable_engine_on","4000887a","Data Label","Global","User Defined","2","0"
"CAL_cooling_aux_pump_enginespeed_enable_engine_on","4000887c","Data Label","Global","User Defined","1","0"
"CAL_tpssmooth_decrement_comp_gears_ips","4000887e","Data Label","Global","User Defined","2","6"
"CAL_inj_closedloop_engine_run_learn_timer_unknown","40008886","Data Label","Global","User Defined","1","0"
"CAL_exhaust_flap_RPM_threshold_open","4000888a","Data Label","Global","User Defined","1","0"
"CAL_exhaust_flap_RPM_threshold_close","4000888c","Data Label","Global","User Defined","1","0"
"CAL_exhaust_flap_startup_threshold","40008893","Data Label","Global","User Defined","1","0"
"CAL_revlimit_maf_error_max_10g","40008896","Data Label","Global","User Defined","3","0"
"CAL_roughness_enable_rpm","4000889a","Data Label","Global","User Defined","1","1"
"CAL_roughness_enable_load","4000889e","Data Label","Global","User Defined","1","1"
"CAL_roughness_ign_adv_min_sign_flipped","400088aa","Data Label","Global","User Defined","2","0"
"CAL_roughness_ign_adv_max","400088ab","Data Label","Global","User Defined","2","0"
"CAL_wheel_speed_front_dvdt_scaling","400088ad","Data Label","Global","User Defined","2","0"
"CAL_wheel_speed_timer1","400088ae","Data Label","Global","User Defined","2","0"
"CAL_revlimit_torque_clamp","400088b1","Data Label","Global","User Defined","2","0"
"CAL_revlimit_overrspeed_time","400088b3","Data Label","Global","User Defined","1","0"
"CAL_revlimit_max_with_speedlimit","400088b4","Data Label","Global","User Defined","1","0"
"CAL_vehicle_speed_limit","400088b6","Data Label","Global","User Defined","1","0"
"CAL_revlimit_overrun_count_threshold","400088b7","Data Label","Global","User Defined","3","0"
"CAL_vehicle_speed_limit_enforce","400088b8","Data Label","Global","User Defined","2","0"
"CAL_vehicle_speed_limit_enforce_margin","400088b9","Data Label","Global","User Defined","5","0"
"CAL_vehicle_standing_start_throttle_threshold","400088ba","Data Label","Global","User Defined","2","0"
