"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"drive_input_switches","40001a55","Data Label","Global","User Defined","94","1"
"driver_input_debounce_timer","40001a3e","Data Label","Global","User Defined","6","0"
"driver_input_flags","40001a54","Data Label","Global","User Defined","56","1"
"driver_input_hold_timer","40001a3c","Data Label","Global","User Defined","4","0"
"driver_input_mode_timer","40001a40","Data Label","Global","User Defined","9","0"
"DSPI_B","fff94000","Data Label","Global","User Defined","1","4"
"DSPI_C","fff98000","Data Label","Global","User Defined","1","5"
"DSPI_D","fff9c000","Data Label","Global","User Defined","0","0"
"dspi_probe_addr_unknown","00049990","Function","Global","User Defined","2","0"
"DSPIB_CTAR0","fff9400c","Data Label","Global","User Defined","3","4"
"DSPIB_POPR","fff94038","Data Label","Global","User Defined","6","4"
"DSPIB_PUSHR","fff94034","Data Label","Global","User Defined","6","4"
"DSPIB_SR","fff9402c","Data Label","Global","User Defined","18","4"
"EBI_BR0","c3f84010","Data Label","Global","User Defined","1","0"
"EBI_MCR","c3f84000","Data Label","Global","User Defined","1","0"
"EBI_OR0","c3f84014","Data Label","Global","User Defined","1","0"
"ECSM_SWTCR","fff40016","Data Label","Global","User Defined","0","0"
"ecu_prog_version","000d2ec8","Data Label","Global","User Defined","2","0"
"ecu_run_timer","4000180a","Data Label","Global","User Defined","10","0"
"ECU_serial_number","00000800","Data Label","Global","User Defined","6","3"
"ecu_shutdown_timer","400015b0","Data Label","Global","User Defined","13","0"
"ecu_startup_flags_unknown","40001ba4","Data Label","Global","User Defined","36","0"
"ECU_type","0000081b","Data Label","Global","User Defined","1","3"
"ecu_unlocked","400017e0","Data Label","Global","User Defined","7","0"
"edma_cr","fff44000","Data Label","Global","User Defined","1","0"
"edma_esr","fff44004","Data Label","Global","User Defined","0","0"
"EEPROM_coding_model","0001c020","Data Label","Global","User Defined","1","1"
"EEPROM_commit_coding_to_flash","000c72a8","Function","Global","User Defined","3","0"
"EEPROM_erase_coding","0005b998","Function","Global","User Defined","1","0"
"eeprom_flash_erase_pending_flags","400017d8","Data Label","Global","User Defined","10","0"
"EEPROM_lea_base","00010000","Data Label","Global","User Defined","4","0"
"EEPROM_load","00054840","Function","Global","User Defined","1","0"
"EEPROM_save","0005479c","Function","Global","User Defined","1","0"
"eeprom_update_flags","40002956","Data Label","Global","User Defined","20","0"
"EEPROM_variant_coding","0001c000","Data Label","Global","User Defined","4","1"
"EEPROM_write_learned_data","0005b788","Function","Global","User Defined","1","0"
"EMIOS_MCR","c3fa0000","Data Label","Global","User Defined","8","0"
"eMIOS_read_chan0","0004bc48","Function","Global","User Defined","1","0"
"emios_uc","c3fa0020","Data Label","Global","User Defined","5","31"
"enable_debug_tracing","000401a0","Function","Global","User Defined","1","0"
"engine_air_temp2","400018d7","Data Label","Global","User Defined","3","0"
"engine_friction_torque","40002824","Data Label","Global","User Defined","6","0"
"engine_is_running","400018d0","Data Label","Global","User Defined","149","0"
"engine_load","0006159c","Function","Global","User Defined","2","0"
"engine_mass_flow_rate_from_map","40001cfe","Data Label","Global","User Defined","2","0"
"engine_net_work_cumulative_long","400042ac","Data Label","Global","User Defined","9","0"
"engine_net_work_cumulative_short","400042a8","Data Label","Global","User Defined","9","0"
"engine_operating_state_flags","40001f28","Data Label","Global","User Defined","98","0"
"engine_power_corrected","40002a10","Data Label","Global","User Defined","3","0"
"engine_roughness???_200hz","0005e85c","Function","Global","User Defined","2","0"
"engine_rpm_rate","400018e8","Data Label","Global","User Defined","4","0"
"engine_run_timer_total","400040a8","Data Label","Global","User Defined","13","0"
"engine_running_state","40001948","Data Label","Global","User Defined","13","0"
"engine_speed2_x256","40001c98","Data Label","Global","User Defined","2","0"
"engine_speed_1/1024rpm","40001c90","Data Label","Global","User Defined","20","0"
"engine_speed_2","400018d2","Data Label","Global","User Defined","141","0"
"engine_speed_3","400018d9","Data Label","Global","User Defined","153","0"
"engine_speed_delta100ms","40001844","Data Label","Global","User Defined","2","0"
"engine_speed_history_500ms","40003008","Data Label","Global","User Defined","1","1"
"engine_speed_period_0","40000000","Data Label","Global","User Defined","10","1"
"engine_speed_period_1","400018dc","Data Label","Global","User Defined","5","0"
"engine_speed_period_2","400018e0","Data Label","Global","User Defined","13","0"
"engine_speed_period_3","40000010","Data Label","Global","User Defined","8","0"
"engine_speed_period_adj","40001d50","Data Label","Global","User Defined","17","0"
"engine_speed_period_update_robust?","00049500","Function","Global","User Defined","1","0"
"engine_speed_pps_target","40001c8e","Data Label","Global","User Defined","10","0"
"engine_speed_previous_ER","40001c5e","Data Label","Global","User Defined","6","0"
"engine_speed_range_config","000d5614","Data Label","Global","User Defined","1","3"
"engine_speed_reference_update_100hz","0005f578","Function","Global","User Defined","2","0"
"engine_speed_state_counter_update","0008d100","Function","Global","User Defined","1","0"
"engine_speed_state_timer_unknown","400042b0","Data Label","Global","User Defined","9","5"
"engine_speed_tach","40001c70","Data Label","Global","User Defined","3","0"
"engine_speed_target_ramp_up_gain","40001c9c","Data Label","Global","User Defined","5","0"
"engine_speeed_period_avg","400018e4","Data Label","Global","User Defined","3","0"
"engine_state_failure_flags","400023ec","Data Label","Global","User Defined","216","0"
"engine_stop_reset","0007e690","Function","Global","User Defined","1","0"
"engine_torque_pct_calc","000bc4b8","Function","Global","User Defined","2","0"
"engine_work","40002110","Data Label","Global","User Defined","3","0"
"engine_work_accumulated","40002114","Data Label","Global","User Defined","3","0"
"engine_work_counters_reset","0008d2f8","Function","Global","User Defined","3","0"
"engine_work_estimate","0008cf98","Function","Global","User Defined","2","0"
"enrichment_cranking_blend","40001acc","Data Label","Global","User Defined","6","0"
"eqadc_cfcr","fff80050","Data Label","Global","User Defined","16","5"
"EQADC_CFPR","fff80010","Data Label","Global","User Defined","12","5"
"EQADC_CFSR","fff800ac","Data Label","Global","User Defined","8","0"
"eqadc_cftcr","fff80090","Data Label","Global","User Defined","0","0"
