"Name","Location","Type","Data Type","EOL Comment"
"CAL_ac_compressor_engine_speed_min","400086c9","Data Label","u8_rspeed_125/4+500rpm","Calibration: A/C compressor engine speed minimum (RPM = val*125/4+500)."
"CAL_cooling_recirc_reset_coolant_temp","400086cd","Data Label","u8_temp_5/8-40c","Calibration: cooling recirc reset coolant temperature (°C = val*5/8−40)."
"CAL_injtip_dfco_accel_pedal_max_manual_clutch_disengage","400086ce","Data Label","u8_factor_1/255","Calibration: injector tip-in decel fuel cut-off accelerator pedal maximum manual clutch disengage (val/255)."
"CAL_torque_torque_to_tps_scaling_rpm_range","400086cf","Data Label","u8_rspeed_125/4+500rpm[2]","Calibration: torque torque to throttle position scaling RPM range (RPM = val*125/4+500; 2-element array)."
"CAL_ecu_learning_x_axis_stability_threshold","400086d1","Data Label","uint8_t","Calibration: ECU learning x axis stability threshold."
"CAL_ecu_learning_y_axis_stability_threshold","400086d2","Data Label","uint8_t","Calibration: ECU learning y axis stability threshold."
"CAL_wheel_speed_smoothing","400086d3","Data Label","uint8_t","Calibration: wheel speed smoothing."
"CAL_sensor_coolant_temp_derived1_scaling","400086d8","Data Label","uint8_t","Calibration: sensor coolant temperature derived1 scaling."
"CAL_sensor_intake_air_temp_filter_scaling","400086d9","Data Label","u8_factor_1/100","Calibration: sensor intake air temperature filter scaling (val/100)."
"CAL_ac_compressor_deactivate_car_speed","400086dc","Data Label","u8_speed_kph[2]","Calibration: A/C compressor deactivate car speed (km/h; 2-element array)."
"CAL_ecu_ign_threshold","400086df","Data Label","u8_voltage_5/255v","Calibration: ECU ignition threshold (V = val*5/255)."
"CAL_injtip_dfco_enable_speed","400086e0","Data Label","u8_speed_kph","Calibration: injector tip-in decel fuel cut-off enable speed (km/h)."
"CAL_injtip_dfco_low_speed_threshold","400086e1","Data Label","u8_speed_kph","Calibration: injector tip-in decel fuel cut-off low speed threshold (km/h)."
"CAL_ign_enable_lea_knock_retard","400086e2","Data Label","bool","Calibration: ignition enable lea knock retard (boolean flag)."
"CAL_knock_corr_limit","400086e6","Data Label","u8_angle_1/4deg","Calibration: knock corr limit (° = val/4)."
"CAL_knock_retard_hold_time","400086e7","Data Label","uint8_t","Calibration: knock retard hold time."
"CAL_knock_ign_retard_decay_rate","400086e8","Data Label","u8_angle_1/4deg","Calibration: knock ignition retard decay rate (° = val/4)."
"CAL_knock_octane_scaler_increment","400086e9","Data Label","u8_count","Calibration: knock octane scaler increment."
"CAL_knock_octane_scaler_decrement","400086ea","Data Label","u8_count","Calibration: knock octane scaler decrement."
"CAL_knock_detection_engine_speed_max","400086eb","Data Label","u8_rspeed_125/4+500rpm","Calibration: knock detection engine speed maximum (RPM = val*125/4+500)."
"CAL_knock_detection_engine_speed_min","400086ec","Data Label","u8_rspeed_125/4+500rpm","Calibration: knock detection engine speed minimum (RPM = val*125/4+500)."
"CAL_knock_corr_temp_threshold","400086ed","Data Label","u8_temp_5/8-40c","Calibration: knock corr temperature threshold (°C = val*5/8−40)."
"CAL_knock_corr_octane_base","400086ee","Data Label","u8_angle_1/4deg","Calibration: knock corr octane base (° = val/4)."
"CAL_knock_baseline_filter_alpha","400086ef","Data Label","uint8_t","Calibration: knock baseline filter alpha."
"CAL_knock_detection_engine_speed_margin","400086f0","Data Label","u8_rspeed_125/4+500rpm","Calibration: knock detection engine speed margin (RPM = val*125/4+500)."
"CAL_knock_detection_load_margin_debounce","400086f1","Data Label","u8_load_4mg/stroke","Calibration: knock detection load margin debounce (mg/stroke = val*4)."
"CAL_knock_inhibit_timer_tps_rate","400086f2","Data Label","u8_time_5ms","Calibration: knock inhibit timer throttle position rate (ms = val*5)."
"CAL_knock_inhibit_tps_rate1","400086f4","Data Label","u16_factor_1/1023","Calibration: knock inhibit throttle position rate1 (val/1023)."
"CAL_injtip_in_adj_gears_6","40008705","Data Label","uint8_t","Calibration: injector tip-in in adj gears 6."
"CAL_ac_evap_timer_ticks_5ms","40008709","Data Label","u8_count","Calibration: A/C evaporative timer ticks 5ms."
"CAL_inj_comp_power_enrich_from_ign_retard","4000870f","Data Label","u8_factor_1/100","Calibration: injector compensation power enrich from ignition retard (val/100)."
"CAL_fuel_learn_time_step","40008711","Data Label","uint8_t","Calibration: fuel learn time step."
"CAL_tps_accel_pedal_zero_calibrate_timer","40008715","Data Label","u8_time_5ms","Calibration: throttle position accelerator pedal zero calibrate timer (ms = val*5)."
"CAL_sensor_map_avg_window_size","40008717","Data Label","uint8_t","Calibration: sensor MAP avg window size."
"CAL_knock_agc_threshold","4000871a","Data Label","u8_rspeed_125/4+500rpm[3]","Calibration: knock AGC threshold (RPM = val*125/4+500; 3-element array)."
"CAL_knock_agc_hysteresis_band","4000871d","Data Label","u8_rspeed_125/4+500rpm","Calibration: knock AGC hysteresis band (RPM = val*125/4+500)."
"CAL_ac_output_pwm_freq","40008724","Data Label","uint16_t","Calibration: A/C output PWM freq."
"CAL_ign_zero_rpm_threshold","40008728","Data Label","u8_rspeed_125/4+500rpm","Calibration: ignition zero RPM threshold (RPM = val*125/4+500)."
"CAL_idle_car_moving_threshold","40008732","Data Label","u8_speed_kph","Calibration: idle car moving threshold (km/h)."
